Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
58412,BAM-BBS PASS,27,BBS,BHUBANESWAR,ECoR,18:35:00,18:35:00,165,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
58434,BAM-CTC  FAS,12,BBS,BHUBANESWAR,ECoR,10:10:00,10:15:00,165,BAM,BERHAMPUR,ECoR,CTC,CUTTACK JN.,ECoR
78504,BAM-BBS PASS,28,BBS,BHUBANESWAR,ECoR,09:25:00,00:00:00,165,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
12893,BBS-BLGR S/F,1,BBS,BHUBANESWAR,ECoR,06:45:00,06:45:00,0,BBS,BHUBANESWAR,ECoR,BLGR,BALANGIR,ECoR
18447,BBS-JDB HIRA,1,BBS,BHUBANESWAR,ECoR,19:35:00,19:35:00,0,BBS,BHUBANESWAR,ECoR,JDB,JAGADALPUR,ECoR
58408,BBS-BHC PASS,1,BBS,BHUBANESWAR,ECoR,17:50:00,17:50:00,0,BBS,BHUBANESWAR,ECoR,BHC,BHADRAKH,ECoR
58411,BBS-BAM PASS,1,BBS,BHUBANESWAR,ECoR,09:55:00,09:55:00,0,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58419,BBS-PSA PASS,1,BBS,BHUBANESWAR,ECoR,19:00:00,19:00:00,0,BBS,BHUBANESWAR,ECoR,PSA,PALASA,ECoR
58426,BBS-KDJR FAS,1,BBS,BHUBANESWAR,ECoR,16:00:00,16:00:00,0,BBS,BHUBANESWAR,ECoR,KDJR,KENDUJHAR,ECoR
78502,BBS-CTC  PAS,1,BBS,BHUBANESWAR,ECoR,00:00:00,09:50:00,0,BBS,BHUBANESWAR,ECoR,CTC,CUTTACK JN.,ECoR
78503,BBS-BAM PASS,1,BBS,BHUBANESWAR,ECoR,00:00:00,17:35:00,0,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
12894,BLGR-BBS S/F,16,BBS,BHUBANESWAR,ECoR,21:40:00,21:40:00,395,BLGR,BALANGIR,ECoR,BBS,BHUBANESWAR,ECoR
58415,CTC-PURI PAS,8,BBS,BHUBANESWAR,ECoR,17:45:00,17:50:00,27,CTC,CUTTACK JN.,ECoR,PURI,PURI,ECoR
58433,CTC-BAM FAST,7,BBS,BHUBANESWAR,ECoR,18:25:00,18:30:00,27,CTC,CUTTACK JN.,ECoR,BAM,BERHAMPUR,ECoR
58533,CTC-PSA PASS,8,BBS,BHUBANESWAR,ECoR,17:10:00,17:15:00,27,CTC,CUTTACK JN.,ECoR,PSA,PALASA,ECoR
18448,JDB-BBS HIRA,41,BBS,BHUBANESWAR,ECoR,08:30:00,08:30:00,784,JDB,JAGADALPUR,ECoR,BBS,BHUBANESWAR,ECoR
58425,KDJR-BBS FAS,22,BBS,BHUBANESWAR,ECoR,11:40:00,11:40:00,214,KDJR,KENDUJHAR,ECoR,BBS,BHUBANESWAR,ECoR
18413,PRDP-PURI IN,8,BBS,BHUBANESWAR,ECoR,20:25:00,20:30:00,109,PRDP,PARADEEP,ECoR,PURI,PURI,ECoR
58420,PSA-BBS PASS,36,BBS,BHUBANESWAR,ECoR,11:25:00,11:25:00,239,PSA,PALASA,ECoR,BBS,BHUBANESWAR,ECoR
58534,PSA-CTC PASS,36,BBS,BHUBANESWAR,ECoR,09:25:00,09:35:00,239,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
18304,PURI-SBP INT,3,BBS,BHUBANESWAR,ECoR,17:20:00,17:25:00,62,PURI,PURI,ECoR,SBP,SAMBALPUR JN.,ECoR
18414,PURI-PRDP IN,5,BBS,BHUBANESWAR,ECoR,07:30:00,07:35:00,62,PURI,PURI,ECoR,PRDP,PARADEEP,ECoR
58414,PURI-TLHR PA,14,BBS,BHUBANESWAR,ECoR,18:20:00,18:25:00,62,PURI,PURI,ECoR,TLHR,TALCHER,ECoR
58416,PURI-CTC PAS,14,BBS,BHUBANESWAR,ECoR,09:45:00,10:05:00,62,PURI,PURI,ECoR,CTC,CUTTACK JN.,ECoR
58422,PURI-ANGL PA,8,BBS,BHUBANESWAR,ECoR,17:55:00,18:00:00,62,PURI,PURI,ECoR,ANGL,ANGUL,ECoR
18303,SBP-PURI INT,14,BBS,BHUBANESWAR,ECoR,11:05:00,11:10:00,277,SBP,SAMBALPUR JN.,ECoR,PURI,PURI,ECoR
58413,TLHR-PURI PA,29,BBS,BHUBANESWAR,ECoR,09:40:00,09:45:00,139,TLHR,TALCHER,ECoR,PURI,PURI,ECoR
58401,CTC-PRDP,12,BDBA,BADABANDHA R,ECoR,20:20:00,20:21:00,72,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58405,CTC-PRDP,10,BDBA,BADABANDHA R,ECoR,16:14:00,16:15:00,72,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58535,CTC-PRDP,12,BDBA,BADABANDHA R,ECoR,12:35:00,12:36:00,72,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
18413,PRDP-PURI IN,2,BDBA,BADABANDHA R,ECoR,18:10:00,18:11:00,10,PRDP,PARADEEP,ECoR,PURI,PURI,ECoR
58402,PRDP-CTC,3,BDBA,BADABANDHA R,ECoR,06:43:00,06:44:00,10,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58406,PRDP-CTC,2,BDBA,BADABANDHA R,ECoR,10:55:00,10:56:00,10,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58536,PRDP-CTC,3,BDBA,BADABANDHA R,ECoR,13:43:00,13:44:00,10,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
18414,PURI-PRDP IN,11,BDBA,BADABANDHA R,ECoR,09:21:00,09:22:00,161,PURI,PURI,ECoR,PRDP,PARADEEP,ECoR
58401,CTC-PRDP,4,BDKT,BADAKHANDITA,NR,19:25:00,19:26:00,24,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58535,CTC-PRDP,4,BDKT,BADAKHANDITA,NR,11:40:00,11:41:00,24,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58402,PRDP-CTC,11,BDKT,BADAKHANDITA,NR,07:38:00,07:39:00,58,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58536,PRDP-CTC,11,BDKT,BADAKHANDITA,NR,14:38:00,14:39:00,58,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58414,PURI-TLHR PA,27,BDPG,BADA PADAGAO,ECoR,20:05:00,20:06:00,113,PURI,PURI,ECoR,TLHR,TALCHER,ECoR
58413,TLHR-PURI PA,16,BDPG,BADA PADAGAO,ECoR,07:49:00,07:50:00,89,TLHR,TALCHER,ECoR,PURI,PURI,ECoR
58421,ANGL-PURI PA,4,BDPK,BURHA PANKA,ECoR,06:23:00,06:24:00,31,ANGL,ANGUL,ECoR,PURI,PURI,ECoR
58414,PURI-TLHR PA,40,BDPK,BURHA PANKA,ECoR,21:51:00,21:52:00,189,PURI,PURI,ECoR,TLHR,TALCHER,ECoR
58422,PURI-ANGL PA,27,BDPK,BURHA PANKA,ECoR,20:26:00,20:27:00,165,PURI,PURI,ECoR,ANGL,ANGUL,ECoR
58413,TLHR-PURI PA,3,BDPK,BURHA PANKA,ECoR,05:53:00,05:54:00,13,TLHR,TALCHER,ECoR,PURI,PURI,ECoR
58401,CTC-PRDP,13,BGDI,BAGADIA  PH,ECoR,20:28:00,20:29:00,79,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58535,CTC-PRDP,13,BGDI,BAGADIA  PH,ECoR,12:43:00,12:44:00,79,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58402,PRDP-CTC,2,BGDI,BAGADIA  PH,ECoR,06:35:00,06:36:00,3,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58536,PRDP-CTC,2,BGDI,BAGADIA  PH,ECoR,13:35:00,13:36:00,3,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58426,BBS-KDJR FAS,12,BGPL,BHAGUAPAL,ER,18:27:00,18:28:00,107,BBS,BHUBANESWAR,ECoR,KDJR,KENDUJHAR,ECoR
58425,KDJR-BBS FAS,11,BGPL,BHAGUAPAL,ER,08:55:00,08:56:00,106,KDJR,KENDUJHAR,ECoR,BBS,BHUBANESWAR,ECoR
18447,BBS-JDB HIRA,34,BGUA,BAIGUDA,ECoR,08:13:00,08:15:00,645,BBS,BHUBANESWAR,ECoR,JDB,JAGADALPUR,ECoR
18448,JDB-BBS HIRA,8,BGUA,BAIGUDA,ECoR,18:08:00,18:10:00,139,JDB,JAGADALPUR,ECoR,BBS,BHUBANESWAR,ECoR
58302,KRPU-SBP PAS,4,BGUA,BAIGUDA,ECoR,03:47:00,03:49:00,33,KRPU,KORAPUT JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
58301,SBP-KRPU PAS,38,BGUA,BAIGUDA,ECoR,20:33:00,20:35:00,460,SBP,SAMBALPUR JN.,ECoR,KRPU,KORAPUT JN.,ECoR
58408,BBS-BHC PASS,30,BHC,BHADRAKH,ECoR,21:25:00,21:25:00,142,BBS,BHUBANESWAR,ECoR,BHC,BHADRAKH,ECoR
58423,BHC-CTC,1,BHC,BHADRAKH,ECoR,13:45:00,13:45:00,0,BHC,BHADRAKH,ECoR,CTC,CUTTACK JN.,ECoR
58435,BHC-CTC,1,BHC,BHADRAKH,ECoR,15:30:00,15:30:00,0,BHC,BHADRAKH,ECoR,CTC,CUTTACK JN.,ECoR
58424,CTC-BHC,23,BHC,BHADRAKH,ECoR,12:30:00,12:30:00,115,CTC,CUTTACK JN.,ECoR,BHC,BHADRAKH,ECoR
58436,CTC-BHC,23,BHC,BHADRAKH,ECoR,15:10:00,15:10:00,115,CTC,CUTTACK JN.,ECoR,BHC,BHADRAKH,ECoR
12893,BBS-BLGR S/F,16,BLGR,BALANGIR,ECoR,13:40:00,13:40:00,395,BBS,BHUBANESWAR,ECoR,BLGR,BALANGIR,ECoR
12894,BLGR-BBS S/F,1,BLGR,BALANGIR,ECoR,14:30:00,14:30:00,0,BLGR,BALANGIR,ECoR,BBS,BHUBANESWAR,ECoR
58302,KRPU-SBP PAS,31,BLGR,BALANGIR,ECoR,14:05:00,14:10:00,375,KRPU,KORAPUT JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
18302,RGDA-SBP EXP,14,BLGR,BALANGIR,ECoR,18:05:00,18:10:00,203,RGDA,RAYAGADA JN.,ECoR,SBP,SAMBALPUR JN.,ECoR
18301,SBP-RGDA EXP,7,BLGR,BALANGIR,ECoR,07:50:00,07:55:00,118,SBP,SAMBALPUR JN.,ECoR,RGDA,RAYAGADA JN.,ECoR
58301,SBP-KRPU PAS,11,BLGR,BALANGIR,ECoR,09:25:00,09:30:00,118,SBP,SAMBALPUR JN.,ECoR,KRPU,KORAPUT JN.,ECoR
58434,BAM-CTC  FAS,17,CTC,CUTTACK JN.,ECoR,11:15:00,11:15:00,192,BAM,BERHAMPUR,ECoR,CTC,CUTTACK JN.,ECoR
58408,BBS-BHC PASS,8,CTC,CUTTACK JN.,ECoR,18:40:00,18:45:00,27,BBS,BHUBANESWAR,ECoR,BHC,BHADRAKH,ECoR
58426,BBS-KDJR FAS,8,CTC,CUTTACK JN.,ECoR,16:55:00,17:00:00,27,BBS,BHUBANESWAR,ECoR,KDJR,KENDUJHAR,ECoR
78502,BBS-CTC  PAS,8,CTC,CUTTACK JN.,ECoR,10:50:00,00:00:00,27,BBS,BHUBANESWAR,ECoR,CTC,CUTTACK JN.,ECoR
58423,BHC-CTC,23,CTC,CUTTACK JN.,ECoR,17:00:00,17:00:00,115,BHC,BHADRAKH,ECoR,CTC,CUTTACK JN.,ECoR
58435,BHC-CTC,23,CTC,CUTTACK JN.,ECoR,18:30:00,18:30:00,115,BHC,BHADRAKH,ECoR,CTC,CUTTACK JN.,ECoR
58401,CTC-PRDP,1,CTC,CUTTACK JN.,ECoR,19:00:00,19:00:00,0,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58405,CTC-PRDP,1,CTC,CUTTACK JN.,ECoR,15:00:00,15:00:00,0,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58415,CTC-PURI PAS,1,CTC,CUTTACK JN.,ECoR,16:50:00,16:50:00,0,CTC,CUTTACK JN.,ECoR,PURI,PURI,ECoR
58424,CTC-BHC,1,CTC,CUTTACK JN.,ECoR,09:05:00,09:05:00,0,CTC,CUTTACK JN.,ECoR,BHC,BHADRAKH,ECoR
58433,CTC-BAM FAST,1,CTC,CUTTACK JN.,ECoR,17:30:00,17:30:00,0,CTC,CUTTACK JN.,ECoR,BAM,BERHAMPUR,ECoR
58436,CTC-BHC,1,CTC,CUTTACK JN.,ECoR,11:35:00,11:35:00,0,CTC,CUTTACK JN.,ECoR,BHC,BHADRAKH,ECoR
58533,CTC-PSA PASS,1,CTC,CUTTACK JN.,ECoR,16:15:00,16:15:00,0,CTC,CUTTACK JN.,ECoR,PSA,PALASA,ECoR
58535,CTC-PRDP,1,CTC,CUTTACK JN.,ECoR,11:15:00,11:15:00,0,CTC,CUTTACK JN.,ECoR,PRDP,PARADEEP,ECoR
58425,KDJR-BBS FAS,15,CTC,CUTTACK JN.,ECoR,10:42:00,10:47:00,186,KDJR,KENDUJHAR,ECoR,BBS,BHUBANESWAR,ECoR
18413,PRDP-PURI IN,7,CTC,CUTTACK JN.,ECoR,19:25:00,19:55:00,82,PRDP,PARADEEP,ECoR,PURI,PURI,ECoR
58402,PRDP-CTC,14,CTC,CUTTACK JN.,ECoR,08:20:00,08:20:00,82,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58406,PRDP-CTC,11,CTC,CUTTACK JN.,ECoR,12:30:00,12:30:00,82,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58536,PRDP-CTC,14,CTC,CUTTACK JN.,ECoR,15:20:00,15:20:00,82,PRDP,PARADEEP,ECoR,CTC,CUTTACK JN.,ECoR
58534,PSA-CTC PASS,43,CTC,CUTTACK JN.,ECoR,10:50:00,10:50:00,266,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
18414,PURI-PRDP IN,6,CTC,CUTTACK JN.,ECoR,08:05:00,08:20:00,89,PURI,PURI,ECoR,PRDP,PARADEEP,ECoR
58414,PURI-TLHR PA,21,CTC,CUTTACK JN.,ECoR,19:20:00,19:25:00,90,PURI,PURI,ECoR,TLHR,TALCHER,ECoR
58416,PURI-CTC PAS,21,CTC,CUTTACK JN.,ECoR,11:05:00,11:05:00,90,PURI,PURI,ECoR,CTC,CUTTACK JN.,ECoR
58413,TLHR-PURI PA,22,CTC,CUTTACK JN.,ECoR,08:35:00,08:40:00,112,TLHR,TALCHER,ECoR,PURI,PURI,ECoR
58418,GNPR-PURI PA,1,GNPR,GUNUPUR,ECoR,06:25:00,06:25:00,0,GNPR,GUNUPUR,ECoR,PURI,PURI,ECoR
58428,GNPR-PSA PAS,1,GNPR,GUNUPUR,ECoR,20:45:00,20:45:00,0,GNPR,GUNUPUR,ECoR,PSA,PALASA,ECoR
58427,PSA-GNPR PAS,9,GNPR,GUNUPUR,ECoR,05:55:00,05:55:00,88,PSA,PALASA,ECoR,GNPR,GUNUPUR,ECoR
58417,PURI-GNPR PA,59,GNPR,GUNUPUR,ECoR,20:15:00,20:15:00,380,PURI,PURI,ECoR,GNPR,GUNUPUR,ECoR
18447,BBS-JDB HIRA,41,JDB,JAGADALPUR,ECoR,13:15:00,13:15:00,784,BBS,BHUBANESWAR,ECoR,JDB,JAGADALPUR,ECoR
18448,JDB-BBS HIRA,1,JDB,JAGADALPUR,ECoR,14:30:00,14:30:00,0,JDB,JAGADALPUR,ECoR,BBS,BHUBANESWAR,ECoR
58408,BBS-BHC PASS,22,JJKR,JAJPUR KEONJ,ECoR,20:18:00,20:19:00,99,BBS,BHUBANESWAR,ECoR,BHC,BHADRAKH,ECoR
58423,BHC-CTC,9,JJKR,JAJPUR KEONJ,ECoR,14:40:00,14:45:00,43,BHC,BHADRAKH,ECoR,CTC,CUTTACK JN.,ECoR
58435,BHC-CTC,9,JJKR,JAJPUR KEONJ,ECoR,16:25:00,16:26:00,43,BHC,BHADRAKH,ECoR,CTC,CUTTACK JN.,ECoR
58424,CTC-BHC,15,JJKR,JAJPUR KEONJ,ECoR,10:39:00,10:40:00,71,CTC,CUTTACK JN.,ECoR,BHC,BHADRAKH,ECoR
58436,CTC-BHC,15,JJKR,JAJPUR KEONJ,ECoR,13:06:00,13:07:00,71,CTC,CUTTACK JN.,ECoR,BHC,BHADRAKH,ECoR
