Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
8036,BLS - KGP ME,11,AGV,ANGUA PH,SER,16:25:00,16:26:00,59,BLS,BALASORE,SER,KGP,KHARAGPUR,SER
68022,BLS KGP LOCA,10,AGV,ANGUA PH,SER,13:39:00,13:40:00,59,BLS,BALASORE,SER,KGP,KHARAGPUR,SER
8035,BLS - KGP DE,9,AGV,ANGUA PH,SER,13:10:00,13:11:00,61,KGP,KHARAGPUR,SER,BLS,BALASORE,SER
68021,KGP BLS LOCA,9,AGV,ANGUA PH,SER,10:25:00,10:26:00,61,KGP,KHARAGPUR,SER,BLS,BALASORE,SER
58801,BPQ - G PASS,18,AJU,ARJUNI,SECR,17:57:00,17:59:00,170,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
58803,BPQ - G PASS,18,AJU,ARJUNI,SECR,09:32:00,09:34:00,170,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
78819,BPQ-G DEMU,18,AJU,ARJUNI,SECR,21:59:00,22:00:00,170,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
58802,G - BPQ PASS,11,AJU,ARJUNI,SECR,08:31:00,08:33:00,79,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
58804,G - BPQ PASS,11,AJU,ARJUNI,SECR,18:42:00,18:44:00,79,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
78820,G- BPQ DEMU,11,AJU,ARJUNI,SECR,11:53:00,11:55:00,79,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
58118,GONDIA JSG P,43,AKT,AKALTARA,SECR,14:19:00,14:21:00,314,G,GONDIA JN.,SER,JSG,JHARSUGUDA JN.,SER
58117,JSG GONDIA P,22,AKT,AKALTARA,SECR,11:06:00,11:08:00,180,JSG,JHARSUGUDA JN.,SER,G,GONDIA JN.,SER
58652,LAD RNC PASS,3,AKZ,AKASHI  PH,SEC,07:14:00,07:15:00,13,LAD,LOHARDAGA  BS,SER,RNC,RANCHI,SER
58656,LAD RNC PASS,3,AKZ,AKASHI  PH,SEC,17:14:00,17:15:00,13,LAD,LOHARDAGA  BS,SER,RNC,RANCHI,SER
58651,RNC LAD PASS,8,AKZ,AKASHI  PH,SEC,06:07:00,06:08:00,53,RNC,RANCHI,SER,LAD,LOHARDAGA  BS,SER
58655,RNC-LAD PASS,8,AKZ,AKASHI  PH,SEC,16:07:00,16:08:00,53,RNC,RANCHI,SER,LAD,LOHARDAGA  BS,SER
58657,RNC-LAD PASS,8,AKZ,AKASHI  PH,SEC,20:02:00,20:03:00,53,RNC,RANCHI,SER,LAD,LOHARDAGA  BS,SER
38902,AMZ SRC LOCA,1,AMZ,AMTA,SER,04:00:00,04:00:00,0,AMZ,AMTA,SER,SRC,SANTRAGACHI JN.,SER
