Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
22404,New Delhi-Puducherry SF Exp,18:45:00,NDLS,NR,55,NEW DELHI,23:50:00,22403,PDY,Puducherry,2384
47158,Falaknuma Lingampalli MMTS,13:15:00,FM,SCR,10,KACHEGUDA FALAKNUMA,12:05:00,47159,LPI,LINGAMPALLI,37
47159,Lingampalli Falaknuma MMTS,22:15:00,LPI,SCR,15,LINGAMPALLI,21:00:00,47160,FM,KACHEGUDA FALAKNUMA,37
47160,Falaknuma Lingampalli MMTS,14:40:00,FM,SCR,15,KACHEGUDA FALAKNUMA,13:25:00,47159,LPI,LINGAMPALLI,37
47170,Falaknuma Lingampalli MMTS,22:45:00,FM,SCR,15,KACHEGUDA FALAKNUMA,21:30:00,47171,LPI,LINGAMPALLI,37
47171,Lingampalli Falaknuma MMTS,06:05:00,LPI,SCR,15,LINGAMPALLI,04:50:00,47170,FM,KACHEGUDA FALAKNUMA,37
47125,Hyderabad Lingampalli MMTS,22:30:00,HYB,SCR,40,HYDERABAD DECCAN,21:50:00,47126,LPI,LINGAMPALLI,25
47204,Falaknuma Secunderabad MMTS,23:00:00,FM,SCR,30,KACHEGUDA FALAKNUMA,22:30:00,47205,SC,SECUNDERABAD JN,14
47211,Falaknuma - Lingampalli Mathrubhoomi (LAdies Spl),09:50:00,FM,SCR,20,KACHEGUDA FALAKNUMA,08:30:00,47210,LPI,LINGAMPALLI,37
47214,Falaknuma - Lingampalli MMTS,12:50:00,FM,SCR,15,KACHEGUDA FALAKNUMA,11:35:00,47213,LPI,LINGAMPALLI,37
47216,Falaknuma - Lingampalli MMTS,15:55:00,FM,SCR,25,KACHEGUDA FALAKNUMA,14:30:00,47215,LPI,LINGAMPALLI,37
47218,Falaknuma - Lingampalli MMTS,19:10:00,FM,SCR,15,KACHEGUDA FALAKNUMA,17:55:00,47217,LPI,LINGAMPALLI,37
47220,Falaknuma - Lingampalli MMTS,22:20:00,FM,SCR,15,KACHEGUDA FALAKNUMA,21:05:00,47219,LPI,LINGAMPALLI,37
50104,Ratnagiri Dadar Passenger,14:20:00,RN,KR,50,RATNAGIRI,05:30:00,50103,DR,MUMBAI DADAR CENTRAL,422
54306,Hapur Moradabad Passenger,22:15:00,HPU,NR,45,HAPUR,19:30:00,54305,MB,MORADABAD,118
56214,TIRUPATI - CHAMARAJANAGAR Fast Passenger,12:50:00,TPTY,SWR,55,TIRUPATI MAIN,20:55:00,56213,CMNR,CHAMARAJANAGAR,535
12393,Sampoorna Kranti Express,08:35:00,RJPB,ER,0,RAJENDRA NAGAR BIHAR,17:35:00,12394,NDLS,NEW DELHI,1001
15235,Howrah-Darbhanga Express,22:15:00,HWH,ECR,10,HOWRAH JN,11:05:00,15236,DBG,DARBHANGA JN,536
18612,Varanasi-Ranchi Express,04:15:00,BSB,SER,25,VARANASI JN,14:50:00,18611,RNC,RANCHI,575
47210,Lingampalli Falaknuma MMTS,18:45:00,LPI,SCR,15,LINGAMPALLI,17:30:00,47211,FM,KACHEGUDA FALAKNUMA,37
47212,Lingampalli Falaknuma MMTS,11:25:00,LPI,SCR,15,LINGAMPALLI,10:10:00,47211,FM,KACHEGUDA FALAKNUMA,37
47213,Lingampalli Falaknuma MMTS,08:15:00,LPI,SCR,20,LINGAMPALLI,06:55:00,47214,FM,KACHEGUDA FALAKNUMA,37
47215,Lingampalli Falaknuma MMTS,14:20:00,LPI,SCR,20,LINGAMPALLI,13:00:00,47214,FM,KACHEGUDA FALAKNUMA,37
47217,Lingampalli Falaknuma MMTS,17:45:00,LPI,SCR,15,LINGAMPALLI,16:30:00,47216,FM,KACHEGUDA FALAKNUMA,37
47219,Lingampalli Falaknuma MMTS,20:45:00,LPI,SCR,15,LINGAMPALLI,19:30:00,47218,FM,KACHEGUDA FALAKNUMA,37
50107,Sawantwadi Madgaon Passenger,19:30:00,SWV,KR,15,SAWANTWADI ROAD,17:15:00,50108,MAO,MADGAON,110
50108,Madgaon Sawantwadi Passenger,08:20:00,MAO,KR,5,MADGAON,06:15:00,50107,SWV,SAWANTWADI ROAD,110
51027,MumbaiCST-Pandharpur Fast Passenger,09:40:00,CSTM,CR,45,MUMBAI CST,22:55:00,51028,PVR,PANDHARPUR,429
51028,Pandharpur-Mumbai Fast Passenger,04:10:00,PVR,CR,15,PANDHARPUR,17:55:00,51027,CSTM,MUMBAI CST,429
51029,Bijapur Fast Passenger,12:50:00,CSTM,CR,55,MUMBAI CST,22:55:00,51030,BJP,BIJAPUR,565
51030,Bijapur Mumbai Fast Passenger,04:10:00,BJP,CR,10,BIJAPUR,15:00:00,51029,CSTM,MUMBAI CST,564
