Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
12549,DURG - JAMMU TAWI SF Exp,21:05:00,DURG,SECR,5,DURG,12:00:00,12550,JAT,JAMMU TAWI,1873
12550,JAMMU TAWI - DURG SF Exp,14:20:00,JAT,SECR,20,JAMMU TAWI,05:00:00,12549,DURG,DURG,1873
12553,Vaishali SF Express,06:30:00,BJU,ECR,0,BARAUNI JN,09:30:00,12554,NDLS,NEW DELHI,1185
12498,Shan-e-Punjab Express,22:45:00,ASR,NR,35,AMRITSAR JN,15:10:00,12497,NDLS,NEW DELHI,448
12505,GUWAHATI - DELHI ANAND VIHAR North East Exp,19:15:00,GHY,NFR,30,GUWAHATI,09:45:00,12506,ANVT,ANAND VIHAR TRM,1866
12506,DELHI ANAND VIHAR - GUWAHATI North East Exp,16:40:00,ANVT,NFR,50,ANAND VIHAR TRM,06:50:00,12505,GHY,GUWAHATI,1867
12509,BENGALURU - GUWAHATI (Kaziranga) SF Express,05:50:00,BNC,NER,20,BANGALORE CANT,23:30:00,12510,GHY,GUWAHATI,2992
12510,GUWAHATI - BENGALURU (Kaziranga) SF Express,11:50:00,GHY,NFR,20,GUWAHATI,06:30:00,12509,SBC,BANGALORE CITY JN,2992
12515,RIVANDRUM - GUWAHATI Exp,05:50:00,TVC,NER,0,TRIVANDRUM CENTRAL,12:50:00,12516,GHY,GUWAHATI,3552
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,22:55:00,GHY,NFR,25,GUWAHATI,06:30:00,12515,TVC,TRIVANDRUM CENTRAL,3552
12517,KOLKATA - GUWAHATI Garib Rath Exp,15:40:00,KOAA,NER,0,KOLKATA CHITPUR,21:40:00,12518,GHY,GUWAHATI,1027
12518,GUWAHATI - KOLKATA Garib Rath Exp,15:00:00,GHY,NER,0,GUWAHATI,21:00:00,12517,KOAA,KOLKATA CHITPUR,1027
12521,Raptisagar Express,13:20:00,BJU,ECR,20,BARAUNI JN,23:00:00,12522,ERS,ERNAKULAM JN,3441
12523,New Jalpaiguri-New Delhi Superfast Express,12:10:00,NJP,NFR,55,NEW JALPAIGURI,08:15:00,12524,NDLS,NEW DELHI,1500
12524,New Delhi New Jalpaiguri SuperFast Express,18:35:00,NDLS,NFR,25,NEW DELHI,15:10:00,12523,NJP,NEW JALPAIGURI,1497
12525,Indrayani SF Express,09:08:00,CSTM,CR,28,MUMBAI CST,05:40:00,12526,PUNE,PUNE JN,192
12526,Indrayani SF Express,21:55:00,PUNE,CR,20,PUNE JN,18:35:00,12525,CSTM,MUMBAI CST,192
12529,Bhopal-Jabalpur Intercity Express,10:50:00,HBJ,WCR,20,HABIBGANJ,05:30:00,12530,JBP,JABALPUR,331
12530,Jabalpur-Bhopal Intercity,22:05:00,JBP,WCR,55,JABALPUR,16:10:00,12529,HBJ,HABIBGANJ,331
12531,Gorakhpur Lucknow InterCity Express,11:00:00,GKP,NER,55,GORAKHPUR JN,06:05:00,12532,LJN,LUCKNOW JN,279
12532,Lucknow Gorakhpur Inter City Express,21:30:00,LJN,NER,55,LUCKNOW JN,16:35:00,12531,GKP,GORAKHPUR JN,279
12533,Pushpak Express,20:05:00,LJN,NER,20,LUCKNOW JN,19:45:00,12534,CSTM,MUMBAI CST,1426
12534,Pushpak Express,08:40:00,CSTM,NER,20,MUMBAI CST,08:20:00,12533,LJN,LUCKNOW JN,1426
12545,RAXAUL - MUMBAI LTT Karmabhoomi Exp,06:15:00,RXL,ECR,40,RAXAUL JN,20:35:00,12546,LTT,LOKMANYA TILAK TERM,1963
12547,Agra Fort Ahmedabad Tri Weekly Express,13:35:00,AF,NER,10,AGRA FORT,22:25:00,12548,ADI,AHMEDABAD JN,867
12548,Ahmedabad-Agra Fort Express,08:10:00,ADI,NER,15,AHMEDABAD JN,16:55:00,12547,AF,AGRA FORT,867
12554,Vaishali SF Express,17:15:00,NDLS,ECR,25,NEW DELHI,19:50:00,12553,BJU,BARAUNI JN,1185
12557,Sapt Kranti SF Express,04:05:00,MFP,ECR,55,MUZAFFARPUR JN,09:10:00,12558,ANVT,ANAND VIHAR TRM,1060
12558,Sapt Kranti SF Express,10:25:00,ANVT,ECR,35,ANAND VIHAR TRM,14:50:00,12557,MFP,MUZAFFARPUR JN,1060
12569,Jaynagar-Delhi AnandViharT Garib Rath,08:25:00,JYG,ECR,15,JAYNAGAR,12:10:00,12570,ANVT,ANAND VIHAR TRM,1252
12570,Anand Vihar Terminus-Jaynagar Garib Rath Express,13:30:00,ANVT,ECR,30,ANAND VIHAR TRM,17:00:00,12569,JYG,JAYNAGAR,1252
12571,Howrah Prasanti Nilayam SF Express,22:25:00,HWH,NFR,35,HOWRAH JN,15:50:00,12572,SSPN,SATYA SAI P NILAYAM,1763
12572,Prashanti Nilayam Howrah SF Express,14:50:00,SSPN,NFR,0,SATYA SAI P NILAYAM,07:50:00,12571,HWH,HOWRAH JN,1763
12573,SainagarShirdi-Howrah Express,19:30:00,SNSI,SER,35,SAINAGAR SHIRDI,13:55:00,12574,HWH,HOWRAH JN,1792
12577,DARBHANGA - MYSORE BAGMATI SF Exp,20:55:00,DBG,ECR,40,DARBHANGA JN,16:15:00,12578,MYS,MYSORE JN,2910
12578,MYSORE - DARBHANGA BAGMATI SF Exp,14:15:00,MYS,ECR,5,MYSORE JN,10:10:00,12577,DBG,DARBHANGA JN,2910
12579,Digha- Puri SamudraKanya Express,03:20:00,DGHA,NFR,5,Digha Flag Station,17:15:00,12580,PURI,PURI,549
12581,Pune Bhubaneshwar Express,17:35:00,PUNE,ECoR,20,PUNE JN,11:15:00,12582,BBS,BHUBANESWAR,1689
12582,Bhubaneshwar-Pune Express,05:00:00,BBS,ECoR,45,BHUBANESWAR,22:15:00,12581,PUNE,PUNE JN,1689
12583,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,10:15:00,LJN,NFR,35,LUCKNOW JN,19:40:00,12584,ANVT,ANAND VIHAR TRM,2071
12584,DELHI ANAND VIHAR T - LUCKNOW DOUBLE DECKER,19:50:00,ANVT,NFR,25,ANAND VIHAR TRM,05:25:00,12583,LJN,LUCKNOW JN,2071
12592,YESVANTPUR - GORAKHPUR SF Exp,15:10:00,YPR,NFR,20,YESVANTPUR JN,16:50:00,12591,GKP,GORAKHPUR JN,2529
12593,Lucknow-Bhopal Garib Rath,09:35:00,LJN,NER,50,LUCKNOW JN,22:45:00,12594,BPL,BHOPAL JN,585
12594,Bhopal-Lucknow Garib Rath Express,09:45:00,BPL,NER,0,BHOPAL JN,22:45:00,12593,LJN,LUCKNOW JN,585
12605,Pallavan Superfast Express,21:20:00,MS,SR,35,CHENNAI EGMORE,15:45:00,12606,TPJ,TIRUCHIRAPPALLI,336
12606,Pallavan Superfast Express,12:05:00,TPJ,SR,35,TIRUCHIRAPPALLI,06:30:00,12605,MS,CHENNAI EGMORE,336
12607,CHENNAI CENTRAL - BANGALORE Lalbagh Exp,21:35:00,MAS,SWR,0,CHENNAI CENTRAL,15:35:00,12608,SBC,BANGALORE CITY JN,358
12608,BANGALORE - CHENNAI CENTRAL Lalbagh Exp,12:15:00,SBC,SWR,45,BANGALORE CITY JN,06:30:00,12607,MAS,CHENNAI CENTRAL,362
12609,CHENNAI CENT - BANGALORE SF Intercity Exp,20:05:00,MAS,SWR,30,CHENNAI CENTRAL,13:35:00,12610,SBC,BANGALORE CITY JN,362
12556,Gorakhdham Express,10:00:00,HSR,NER,25,Hisar,16:35:00,12555,GKP,GORAKHPUR JN,962
12559,Shiv Ganga Express,07:40:00,BSB,NER,25,VARANASI JN,19:15:00,12560,NDLS,NEW DELHI,758
12560,Shiv Ganga Express,07:30:00,NDLS,NER,45,NEW DELHI,18:45:00,12559,BSB,VARANASI JN,758
12562,Swatantrata Sainani Express,18:05:00,NDLS,ECR,25,NEW DELHI,20:40:00,12561,DBG,DARBHANGA JN,1166
12563,Mumbai LTT - Faizabad SF Express,17:40:00,LTT,NER,10,LOKMANYA TILAK TERM,14:30:00,12564,FD,FAIZABAD JN,1600
12564,Faizabad-Mumbai LTT SF Express,05:00:00,FD,CR,5,FAIZABAD JN,23:55:00,12563,LTT,LOKMANYA TILAK TERM,1600
12565,Bihar Sampark Kranti Express,05:30:00,DBG,ECR,55,DARBHANGA JN,08:35:00,12566,NDLS,NEW DELHI,1172
12566,Bihar Sampark Kranti Express,11:25:00,NDLS,ECR,55,NEW DELHI,14:30:00,12565,DBG,DARBHANGA JN,1172
12575,Kharagpur Purulia Express,11:25:00,KGP,NFR,0,KHARAGPUR JN,07:25:00,12576,PRR,PURULIA JN,208
12576,Purulia Khargapur Intercity Express,15:50:00,PRR,NFR,55,PURULIA JN,11:55:00,12575,KGP,KHARAGPUR JN,208
12587,Amarnath Express,12:20:00,GKP,NFR,15,GORAKHPUR JN,14:05:00,12588,JAT,JAMMU TAWI,1248
12588,Amarnath Express,20:50:00,JAT,NFR,5,JAMMU TAWI,22:45:00,12587,GKP,GORAKHPUR JN,1248
12589,Gorakhpur-Secunderabad Express,15:10:00,GKP,NFR,25,GORAKHPUR JN,06:45:00,12590,SC,SECUNDERABAD JN,1827
12590,Secunderabad - Gorakhpur Express,15:10:00,SC,NFR,50,SECUNDERABAD JN,07:20:00,12589,GKP,GORAKHPUR JN,1827
12601,Chennai Mangalore Mail,12:25:00,MAS,SR,0,CHENNAI CENTRAL,20:25:00,12602,MAQ,MANGALORE CNTL,889
12602,Chennai Mail,05:25:00,MAQ,SR,10,MANGALORE CNTL,13:15:00,12601,MAS,CHENNAI CENTRAL,889
12603,Chennai - Hyderabad Express,05:45:00,MAS,SR,0,CHENNAI CENTRAL,16:45:00,12604,HYB,HYDERABAD DECCAN,715
12604,Hyderabad - Chennai Express,05:55:00,HYB,SR,0,HYDERABAD DECCAN,16:55:00,12603,MAS,CHENNAI CENTRAL,715
12611,Chennai Central-H.Nizamuddin Garib Rath Express,10:20:00,MAS,SR,10,CHENNAI CENTRAL,06:10:00,12612,NZM,DELHI H NIZAMUDDIN,2177
12612,H Nizamuddin-Chennai Garib Rath Express,20:15:00,NZM,SR,15,DELHI H NIZAMUDDIN,16:00:00,12611,MAS,CHENNAI CENTRAL,2176
12613,Tippu Express,13:30:00,MYS,SWR,30,MYSORE JN,11:00:00,12614,SBC,BANGALORE CITY JN,139
12614,Tippu Express,17:30:00,SBC,SWR,30,BANGALORE CITY JN,15:00:00,12613,MYS,MYSORE JN,139
12616,GrandTrunk Express,06:15:00,NDLS,SR,35,NEW DELHI,18:40:00,12615,MAS,CHENNAI CENTRAL,2184
12620,MANGALORE CENT - MUMBAI LTT Matsyagandha Exp,06:35:00,MAQ,SR,55,MANGALORE CNTL,14:40:00,12619,LTT,LOKMANYA TILAK TERM,1186
12622,Tamil Nadu Express,07:15:00,NDLS,SR,45,NEW DELHI,22:30:00,12621,MAS,CHENNAI CENTRAL,2184
12623,Chennai Tiruvananthapuram SF Mail,11:25:00,MAS,SR,40,CHENNAI CENTRAL,19:45:00,12624,TVC,TRIVANDRUM CENTRAL,909
12625,Kerala Express,13:40:00,TVC,SR,25,TRIVANDRUM CENTRAL,11:15:00,12626,NDLS,NEW DELHI,3036
12626,Kerala Express,14:35:00,NDLS,SR,5,NEW DELHI,11:30:00,12625,TVC,TRIVANDRUM CENTRAL,3036
12628,Karnataka Express,13:40:00,NDLS,SWR,25,NEW DELHI,21:15:00,12627,SBC,BANGALORE CITY JN,2406
12629,Karnataka Sampark Kranti Express,09:15:00,YPR,SWR,25,YESVANTPUR JN,12:50:00,12630,NZM,DELHI H NIZAMUDDIN,2610
12630,Karnataka Sampark Kranti Express,06:40:00,NZM,SWR,45,DELHI H NIZAMUDDIN,08:55:00,12629,YPR,YESVANTPUR JN,2610
12635,CHENNAI EGMORE - MADURAI Vaigai SF Exp,20:50:00,MS,SR,5,CHENNAI EGMORE,12:45:00,12636,MDU,MADURAI JN,497
12637,CHENNAI EGMORE - MADURAI Pandiyan SF Exp,06:15:00,MS,SR,0,CHENNAI EGMORE,21:15:00,12638,MDU,MADURAI JN,497
12638,MADURAI - CHENNAI EGMORE Pandiyan SF Exp,05:35:00,MDU,SR,0,MADURAI JN,20:35:00,12637,MS,CHENNAI EGMORE,497
12640,BANGALORE - CHENNAI CENT Brindavan Exp,20:25:00,SBC,SR,55,BANGALORE CITY JN,14:30:00,12639,MAS,CHENNAI CENTRAL,362
12643,Swarna Jayanthi Express,17:05:00,TVC,SR,45,TRIVANDRUM CENTRAL,14:20:00,12644,NZM,DELHI H NIZAMUDDIN,3014
12644,Swarna Jayanti Express,11:10:00,NZM,SR,10,DELHI H NIZAMUDDIN,06:00:00,12643,TVC,TRIVANDRUM CENTRAL,3014
12649,Karnataka Sampark Kranti Express,09:15:00,YPR,SWR,5,YESVANTPUR JN,22:10:00,12650,NZM,DELHI H NIZAMUDDIN,2277
12650,Karnataka Sampark Kranti Express,19:00:00,NZM,SWR,15,DELHI H NIZAMUDDIN,06:45:00,12649,YPR,YESVANTPUR JN,2276
12651,MADURAI - DELHI H NIZAMUDDIN Tamil Nadu S Kranti,18:00:00,MDU,SR,5,MADURAI JN,23:55:00,12652,NZM,DELHI H NIZAMUDDIN,2677
12654,Mangalore Tiruchirappalli Weekly Superfast Express,08:15:00,MAQ,SR,30,MANGALORE CNTL,20:45:00,12653,TPJ,TIRUCHIRAPPALLI,635
12657,CHENNAI - BANGALORE Mail,05:10:00,MAS,SWR,55,CHENNAI CENTRAL,23:15:00,12658,SBC,BANGALORE CITY JN,362
12658,BANGALORE - CHENNAI Mail,04:40:00,SBC,SWR,55,BANGALORE CITY JN,22:45:00,12657,MAS,CHENNAI CENTRAL,362
12662,SENGOTTAI - CHENNAI EGMORE Pothigai SF Exp,07:05:00,SCT,SR,5,SENGOTTAI,19:00:00,12661,MS,CHENNAI EGMORE,670
12664,Tiruchirappalli-Howrah Express,03:20:00,TPJ,SR,20,TIRUCHIRAPPALLI,16:00:00,12663,HWH,HOWRAH JN,2025
15605,Jorhat Town InterCity Express,09:30:00,GHY,NFR,0,GUWAHATI,22:30:00,15606,MXN,MARIANI JN,405
12617,ERNAKULAM - NEW DELHI H NIZAMUDDIN Mangala Lakshadweep Exp,13:10:00,ERS,SR,0,ERNAKULAM JN,13:10:00,12618,NZM,DELHI H NIZAMUDDIN,3067
12618,NEW DELHI H NIZAMUDDIN - ERNAKULAM Mangala Lakshadweep Exp,10:00:00,NZM,SR,40,DELHI H NIZAMUDDIN,09:20:00,12617,ERS,ERNAKULAM JN,3067
12621,Tamil Nadu Express,07:00:00,MAS,SR,0,CHENNAI CENTRAL,22:00:00,12622,NDLS,NEW DELHI,2184
12627,Karnataka Express,10:35:00,SBC,SWR,15,BANGALORE CITY JN,19:20:00,12628,NDLS,NEW DELHI,2406
12631,CHENNAI EGMORE - TIRUNELVELI Nellai SF Exp,08:30:00,MS,SR,40,CHENNAI EGMORE,20:50:00,12632,TEN,TIRUNELVELI,653
12632,TIRUNELVELI - CHENNAI EGMORE Nellai SF Exp,06:40:00,TEN,SR,50,TIRUNELVELI,18:50:00,12631,MS,CHENNAI EGMORE,653
12634,KANNIYAKUMARI - CHENNAI EGMORE SF Exp,06:50:00,CAPE,SR,30,KANYAKUMARI,17:20:00,12633,MS,CHENNAI EGMORE,742
12639,CHENNAI CENT - BANGALORE Brindavan Exp,13:20:00,MAS,SR,5,CHENNAI CENTRAL,07:15:00,12640,SBC,BANGALORE CITY JN,362
12642,D H NIZAMUDDIN - KANYAKUMARI Thirukkural Exp,08:45:00,NZM,SR,45,DELHI H NIZAMUDDIN,06:00:00,12641,CAPE,KANYAKUMARI,2919
12645,Millennium Expres,17:05:00,ERS,SR,10,ERNAKULAM JN,18:55:00,12646,NZM,DELHI H NIZAMUDDIN,2809
12646,Millennium Express,06:00:00,NZM,SR,0,DELHI H NIZAMUDDIN,06:00:00,12645,ERS,ERNAKULAM JN,2809
12647,Kongu Express,14:15:00,CBE,SR,0,COIMBATORE JN,15:15:00,12648,NZM,DELHI H NIZAMUDDIN,2671
12648,Kongu Express,09:30:00,NZM,SR,50,DELHI H NIZAMUDDIN,08:40:00,12647,CBE,COIMBATORE JN,2671
12655,Navjeevan Express,16:05:00,ADI,SR,35,AHMEDABAD JN,06:30:00,12656,MAS,CHENNAI CENTRAL,1893
12656,Navajivan Express,19:10:00,MAS,SR,35,CHENNAI CENTRAL,09:35:00,12655,ADI,AHMEDABAD JN,1893
12659,Gurudev Express,13:50:00,NCJ,SR,15,NAGERCOIL JN,14:35:00,12660,SHM,KOLKATA SHALIMAR,2583
12660,Shalimar-Nagercoil Gurudev Express,22:00:00,SHM,SR,0,KOLKATA SHALIMAR,23:00:00,12659,NCJ,NAGERCOIL JN,2583
12667,CHENNAI EGMORE - NAGERCOIL SF Exp,08:10:00,MS,SR,20,CHENNAI EGMORE,18:50:00,12668,NCJ,NAGERCOIL JN,727
12668,NAGERCOIL - CHENNAI EGMORE SF Exp,06:00:00,NCJ,SR,55,NAGERCOIL JN,17:05:00,12667,MS,CHENNAI EGMORE,727
12673,Cheran Express,06:10:00,MAS,SR,0,CHENNAI CENTRAL,22:10:00,12674,CBE,COIMBATORE JN,497
12674,Cheran Express,06:35:00,CBE,SR,15,COIMBATORE JN,22:20:00,12673,MAS,CHENNAI CENTRAL,497
12675,Kovai Express,13:55:00,MAS,SR,40,CHENNAI CENTRAL,06:15:00,12676,CBE,COIMBATORE JN,497
12676,Kovai Express,21:40:00,CBE,SR,20,COIMBATORE JN,14:20:00,12675,MAS,CHENNAI CENTRAL,497
12677,Bangalore City - Ernakulam Intercity SF Express,16:55:00,SBC,SR,40,BANGALORE CITY JN,06:15:00,12678,ERS,ERNAKULAM JN,587
12678,Ernakulam-BangaloreCity Intercity Express,19:50:00,ERS,SR,40,ERNAKULAM JN,09:10:00,12677,SBC,BANGALORE CITY JN,587
12679,ChennaiCentral-Coimbatore InterCity,22:15:00,MAS,SR,45,CHENNAI CENTRAL,14:30:00,12680,CBE,COIMBATORE JN,497
12680,Coimbatore-Chennai Central InterCity SF Express,13:50:00,CBE,SR,35,COIMBATORE JN,06:15:00,12679,MAS,CHENNAI CENTRAL,497
12681,Chennai-Coimbatore Express,06:50:00,MAS,SR,20,CHENNAI CENTRAL,22:30:00,12682,CBE,COIMBATORE JN,497
12682,Coimbatore-Chennai Express,07:45:00,CBE,SR,0,COIMBATORE JN,23:45:00,12681,MAS,CHENNAI CENTRAL,497
12683,ERNAKULAM - BANGALORE SF Exp,04:20:00,ERS,SR,20,ERNAKULAM JN,17:00:00,12684,SBC,BANGALORE CITY JN,625
12695,Chennai-Trivandrum SuperFast Express,07:40:00,MAS,SR,15,CHENNAI CENTRAL,15:25:00,12696,TVC,TRIVANDRUM CENTRAL,922
12696,Trivandrum-Chennai Superfast Express,09:50:00,TVC,SR,40,TRIVANDRUM CENTRAL,17:10:00,12695,MAS,CHENNAI CENTRAL,922
12697,Chennai-Thiruvananthapuram Express,06:35:00,MAS,SR,20,CHENNAI CENTRAL,15:15:00,12696,TVC,TRIVANDRUM CENTRAL,909
12698,Thiruvananthapuram Central Chennai Central weekly express,12:25:00,TVC,SR,15,TRIVANDRUM CENTRAL,20:10:00,12697,MAS,CHENNAI CENTRAL,909
12701,Hussain Sagar Express,12:10:00,CSTM,SCR,20,MUMBAI CST,21:50:00,12702,HYB,HYDERABAD DECCAN,790
12702,Hussain Sagar Express,05:05:00,HYB,SCR,20,HYDERABAD DECCAN,14:45:00,12701,CSTM,MUMBAI CST,790
12703,Howrah - Secunderabad Falaknuma SF Express,09:35:00,HWH,SCR,10,HOWRAH JN,07:25:00,12704,SC,SECUNDERABAD JN,1545
12704,Falaknuma Express,17:45:00,SC,SCR,45,SECUNDERABAD JN,16:00:00,12703,HWH,HOWRAH JN,1545
12707,Andhra Pradesh Sampark Kranti Express,18:00:00,TPTY,SCR,15,TIRUPATI MAIN,05:45:00,12708,NZM,DELHI H NIZAMUDDIN,2302
12708,Andhra Pradesh Sampark Kranti Express,21:35:00,NZM,SCR,10,DELHI H NIZAMUDDIN,07:25:00,12707,TPTY,TIRUPATI MAIN,2302
12710,Simhapuri SF Express,08:50:00,SC,SCR,20,SECUNDERABAD JN,22:30:00,12709,GDR,GUDUR JN,644
12711,Pinakini Express,13:00:00,BZA,SCR,0,VIJAYAWADA JN,06:00:00,12712,MAS,CHENNAI CENTRAL,431
12712,Pinakini Express,21:10:00,MAS,SCR,5,CHENNAI CENTRAL,14:05:00,12711,BZA,VIJAYAWADA JN,431
12714,Satavahana Express,21:50:00,SC,SCR,35,SECUNDERABAD JN,16:15:00,12713,BZA,VIJAYAWADA JN,351
12715,Sachkhand SF Express,20:15:00,NED,SCR,45,HUZUR SAHIB NANDED,09:30:00,12716,ASR,AMRITSAR JN,2081
15718,Mariani-Guwahati Intercity Express,13:45:00,MXN,NFR,15,MARIANI JN,03:30:00,15717,GHY,GUWAHATI,404
52473,PATHANKOT - JOGINDER NAGAR PASSENGER,19:45:00,PTK,NR,45,PATHANKOT,10:00:00,52472,JDNX,JOGINDER NAGAR,170
12666,KANYAKUMARI - KOL HOWRAH Weekly Exp,03:20:00,CAPE,SR,30,KANYAKUMARI,07:50:00,12665,HWH,HOWRAH JN,2431
12669,CHENNAI CENTRAL - CHHAPRA Ganga Kaveri Exp,11:40:00,MAS,SR,5,CHENNAI CENTRAL,17:35:00,12670,CPR,CHHAPRA,2343
12670,CHHAPRA - CHENNAI CENTRAL Ganga Kaveri Exp,14:25:00,CPR,SR,25,CHHAPRA,21:00:00,12669,MAS,CHENNAI CENTRAL,2343
12671,Nilgiri (Blue Mountain) Express,06:15:00,MAS,SR,15,CHENNAI CENTRAL,21:00:00,12672,MTP,Mettupalayam,532
12672,Nilgiri (Blue Mountain) Express,05:05:00,MTP,SR,20,Mettupalayam,19:45:00,12671,MAS,CHENNAI CENTRAL,532
12685,Chennai - Mangalore Express,09:05:00,MAS,SR,5,CHENNAI CENTRAL,17:00:00,12686,MAQ,MANGALORE CNTL,889
12686,Mangalore - Chennai Express,08:00:00,MAQ,SR,50,MANGALORE CNTL,16:10:00,12685,MAS,CHENNAI CENTRAL,889
12687,Chennai Dehradun Express,05:00:00,MAS,SR,15,CHENNAI CENTRAL,09:45:00,12688,DDN,DEHRADUN,2488
12688,Dehradun Chennai Express,02:15:00,DDN,SR,55,DEHRADUN,07:20:00,12687,MAS,CHENNAI CENTRAL,2488
12690,NAGERCOIL - CHENNAI SF Exp,12:25:00,NCJ,SR,45,NAGERCOIL JN,19:40:00,12689,MAS,CHENNAI CENTRAL,927
12691,CHENNAI - SSP NILAYAM SF Exp,09:20:00,MAS,SR,50,CHENNAI CENTRAL,23:30:00,12692,SSPN,SATYA SAI P NILAYAM,529
12692,SSP NILAYAM - CHENNAI SF Exp,05:15:00,SSPN,SR,30,SATYA SAI P NILAYAM,18:45:00,12691,MAS,CHENNAI CENTRAL,529
12693,CHENNAI EGMORE - TUTICORIN Pearl City SF Exp,07:30:00,MS,SR,55,CHENNAI EGMORE,19:35:00,12694,TN,TUTICORIN,656
12694,TUTICORIN - CHENNAI EGMORE Pearl City SF Exp,07:40:00,TN,SR,55,TUTICORIN,19:45:00,12693,MS,CHENNAI EGMORE,656
12705,Guntur-Secunderabad SF Intercity,21:50:00,GNT,SCR,50,GUNTUR JN,15:00:00,12706,SC,SECUNDERABAD JN,383
12706,Secunderabad-Guntur SF Intercity,14:25:00,SC,SCR,45,SECUNDERABAD JN,07:40:00,12705,GNT,GUNTUR JN,383
12716,Sachkhand SF Express,15:50:00,ASR,SCR,10,AMRITSAR JN,05:40:00,12715,NED,HUZUR SAHIB NANDED,2081
12719,AJMER - HYDERABAD DECCAN SF Exp,00:30:00,AII,SCR,50,AJMER JN,17:40:00,12720,HYB,HYDERABAD DECCAN,1711
12720,HYDERABAD DECCAN - AJMER SF Exp,03:05:00,HYB,SCR,35,HYDERABAD DECCAN,20:30:00,12719,AII,AJMER JN,1711
12725,Siddhaganga Intercity Express,21:50:00,SBC,SWR,50,BANGALORE CITY JN,13:00:00,12726,DWR,DHARWAR,490
12726,Siddhaganga InterCity Express,14:05:00,DWR,SWR,50,DHARWAR,05:15:00,12725,SBC,BANGALORE CITY JN,490
12731,Tirupati-Secunderabad Express,07:00:00,TPTY,SCR,15,TIRUPATI MAIN,16:45:00,12732,SC,SECUNDERABAD JN,801
12732,Secunderabad-Tirupati Express,09:30:00,SC,SCR,30,SECUNDERABAD JN,19:00:00,12731,TPTY,TIRUPATI MAIN,801
12733,Narayanadri Express,06:25:00,TPTY,SCR,0,TIRUPATI MAIN,18:25:00,12734,SC,SECUNDERABAD JN,661
12734,Narayanadri Express,06:05:00,SC,SCR,0,SECUNDERABAD JN,18:05:00,12733,TPTY,TIRUPATI MAIN,661
12737,Gowthami SF Express,06:35:00,COA,SCR,15,Kakinada Port,20:20:00,12738,SC,SECUNDERABAD JN,566
12738,Secunderabad - Kakinada Gowthami SF Express,07:30:00,SC,SCR,15,SECUNDERABAD JN,21:15:00,12737,COA,Kakinada Port,566
12740,Secunderabad-Visakhapatnam Garib Rath,07:30:00,SC,SCR,15,SECUNDERABAD JN,20:15:00,12739,VSKP,VISHAKAPATNAM,701
12741,VASCO DA GAMA - PATNA SF Exp,12:10:00,VSG,SWR,0,VASCO DA GAMA,19:10:00,12742,PNBE,PATNA JN,2419
12742,PATNA - VASCO DA GAMA SF Exp,08:55:00,PNBE,SWR,55,PATNA JN,14:00:00,12741,VSG,VASCO DA GAMA,2419
12747,Palnadu Express,12:10:00,GNT,SCR,25,GUNTUR JN,05:45:00,12748,VKB,VIKARABAD JN,353
12748,Palnadu Express,20:00:00,VKB,SCR,15,VIKARABAD JN,13:45:00,12747,GNT,GUNTUR JN,353
12750,Mumbai LTT-Visakhapatnam SF Express,14:45:00,LTT,ECoR,20,LOKMANYA TILAK TERM,12:25:00,12749,VSKP,VISHAKAPATNAM,1502
12751,Manuguru-Secunderabad Tri Weekly SF Express,03:45:00,MUGR,SCR,0,Manuguru,21:45:00,12752,SC,SECUNDERABAD JN,331
12752,Secunderabad-Manuguru SF Express,05:45:00,SC,SCR,0,SECUNDERABAD JN,23:45:00,12751,MUGR,Manuguru,331
12753,Chennai-NewJalpaiguri SF Express,03:45:00,MAS,SR,45,CHENNAI CENTRAL,11:00:00,12754,NJP,NEW JALPAIGURI,2257
12754,New Jalpaiguri-Chennai SF Express,14:55:00,NJP,SR,55,NEW JALPAIGURI,22:00:00,12753,MAS,CHENNAI CENTRAL,2257
12763,Padmavati Express,05:50:00,TPTY,SCR,50,TIRUPATI MAIN,17:00:00,12764,SC,SECUNDERABAD JN,737
12764,Padmavati Express,07:00:00,SC,SCR,30,SECUNDERABAD JN,18:30:00,12763,TPTY,TIRUPATI MAIN,737
12777,HUBLI - TRIVANDRUM KOCHUVELI SF Exp,06:30:00,UBL,SWR,40,HUBLI JN,06:50:00,12778,KCVL,KOCHUVELI,1307
52469,PATHANKOT - BAIJNATHPAPROLA PASSENGER,22:30:00,PTK,NR,40,PATHANKOT,15:50:00,52468,BJPL,BAIJNATH PAPROLA,141
53448,Bhagalpur Banka Passenger,19:40:00,BGP,ER,15,BHAGALPUR,17:25:00,53449,BAKA,Banka,53
55010,Chhapra Bhatni Passenger,20:35:00,CPR,NER,10,CHHAPRA,17:25:00,55009,BTT,BHATNI JN,110
55102,Barhaj Bazar Bhatni Passenger,12:15:00,BHJ,NER,55,Barhaj Bazar,10:20:00,55103,BTT,BHATNI JN,0
55103,Bhatani Barhaj Passenger,16:55:00,BTT,NER,30,BHATNI JN,15:25:00,55102,BHJ,Barhaj Bazar,0
55118,Bhatni Chhapra Passenger,18:30:00,BTT,NER,20,BHATNI JN,17:10:00,55117,SV,SIWAN JN,49
